-----BEGIN METADATA-----
RESOURCE ID= 29
OID SYSTEM = urn:ietf:rfc:3986
OID VALUE = urn:oid:2.16.840.1.113883.5.7
URL = http://terminology.hl7.org/CodeSystem/v3-ActPriority
VERSION = 2.1.0
NAME = ActPriority
CONTENT = Complete
DATE = Wed Mar 20 00:00:00 CET 2019
-----END METADATA-----

CODE|DISPLAY|ISA
A|ASAP|
CR|callback results|
CS|callback for scheduling|
EL|elective|
EM|emergency|
P|preop|
PRN|as needed|
R|routine|
RR|rush reporting|
S|stat|
T|timing critical|
UD|use as directed|
UR|urgent|
